Spin(   6.5,   4.5,   0.5,   0.342925,   -0.108952,   0.933023    ) 
Spin(   6.5,   4.5,   2.5,   0.517805,   0.756621,   -0.399252    ) 
Spin(   6.5,   6.5,   0.5,   0.888202,   0.410637,   -0.206091    ) 
Spin(   6.5,   6.5,   2.5,   0.106666,   -0.0904171,   0.990175    ) 
Spin(   6.5,   8.5,   0.5,   -0.604828,   -0.303779,   -0.73614    ) 
Spin(   6.5,   8.5,   2.5,   -0.234976,   -0.451721,   0.860659    ) 
Spin(   6.5,   10.5,   0.5,   -0.870485,   -0.270272,   -0.41135    ) 
Spin(   6.5,   10.5,   2.5,   -0.0218204,   0.00216019,   0.99976    ) 
Spin(   6.5,   12.5,   0.5,   0.722355,   0.213047,   0.657886    ) 
Spin(   6.5,   12.5,   2.5,   0.553942,   -0.297204,   0.777701    ) 
Spin(   6.5,   14.5,   0.5,   -0.593669,   0.314628,   0.740653    ) 
Spin(   6.5,   14.5,   2.5,   -0.175808,   -0.0328297,   -0.983877    ) 
Spin(   6.5,   16.5,   0.5,   -0.598787,   0.441357,   -0.668325    ) 
Spin(   6.5,   16.5,   2.5,   0.0929633,   -0.310743,   0.945937    ) 
Spin(   6.5,   18.5,   0.5,   0.0365608,   -0.272164,   0.961556    ) 
Spin(   6.5,   18.5,   2.5,   -0.72448,   -0.336842,   0.601386    ) 
Spin(   8.5,   0.5,   0.5,   0.361396,   -0.0727647,   -0.929569    ) 
Spin(   8.5,   0.5,   2.5,   0.450013,   -0.729614,   0.514929    ) 
Spin(   8.5,   2.5,   0.5,   -0.0080618,   0.0563687,   0.998377    ) 
Spin(   8.5,   2.5,   2.5,   -0.316114,   -0.292958,   0.902357    ) 
Spin(   8.5,   4.5,   0.5,   0.46467,   -0.649114,   0.602273    ) 
Spin(   8.5,   4.5,   2.5,   0.864952,   -0.501312,   0.0233189    ) 
Spin(   8.5,   6.5,   0.5,   0.165744,   -0.0238398,   0.985881    ) 
Spin(   8.5,   6.5,   2.5,   0.823579,   0.0651347,   0.56345    ) 
Spin(   8.5,   8.5,   0.5,   -0.8054,   0.552641,   -0.214288    ) 
Spin(   8.5,   8.5,   2.5,   0.213733,   -0.886564,   -0.410272    ) 
Spin(   8.5,   10.5,   0.5,   -0.0919599,   -0.00535287,   -0.995748    ) 
Spin(   8.5,   10.5,   2.5,   0.349161,   -0.496532,   0.794696    ) 
Spin(   8.5,   12.5,   0.5,   -0.754431,   0.0458892,   0.654774    ) 
Spin(   8.5,   12.5,   2.5,   0.182044,   -0.148632,   0.971992    ) 
Spin(   8.5,   14.5,   0.5,   -0.748321,   -0.0594698,   0.660665    ) 
Spin(   8.5,   14.5,   2.5,   -0.246995,   -0.24479,   -0.937588    ) 
Spin(   8.5,   16.5,   0.5,   -0.104629,   0.0918248,   0.990263    ) 
Spin(   8.5,   16.5,   2.5,   -0.629156,   -0.147171,   -0.763219    ) 
Spin(   8.5,   18.5,   0.5,   -0.241675,   0.502124,   -0.83034    ) 
Spin(   8.5,   18.5,   2.5,   -0.220275,   0.0980845,   -0.970494    ) 
Spin(   10.5,   0.5,   0.5,   -0.219741,   0.217446,   0.951016    ) 
Spin(   10.5,   0.5,   2.5,   -0.162931,   -0.964653,   0.20712    ) 
Spin(   10.5,   2.5,   0.5,   -0.400212,   0.450205,   0.798214    ) 
Spin(   10.5,   2.5,   2.5,   -0.102816,   0.739849,   -0.66487    ) 
Spin(   10.5,   4.5,   0.5,   0.0320066,   -0.76484,   -0.643425    ) 
Spin(   10.5,   4.5,   2.5,   -0.578911,   0.761616,   -0.291208    ) 
Spin(   10.5,   6.5,   0.5,   -0.58317,   0.800512,   -0.138178    ) 
Spin(   10.5,   6.5,   2.5,   -0.422678,   -0.797304,   0.430871    ) 
Spin(   10.5,   8.5,   0.5,   -0.900471,   -0.419141,   -0.116075    ) 
Spin(   10.5,   8.5,   2.5,   -0.0379043,   -0.000354189,   -0.999281    ) 
Spin(   10.5,   10.5,   0.5,   0.627964,   -0.167891,   0.759917    ) 
Spin(   10.5,   10.5,   2.5,   -0.684909,   -0.680002,   -0.261718    ) 
Spin(   10.5,   12.5,   0.5,   -0.114353,   -0.396379,   0.910937    ) 
Spin(   10.5,   12.5,   2.5,   0.826297,   0.407795,   0.388507    ) 
Spin(   10.5,   14.5,   0.5,   0.853604,   -0.193151,   0.48379    ) 
Spin(   10.5,   14.5,   2.5,   0.131136,   0.143114,   -0.98098    ) 
Spin(   10.5,   16.5,   0.5,   -0.0404811,   -0.0904883,   0.995074    ) 
Spin(   10.5,   16.5,   2.5,   0.0760038,   -0.376371,   -0.923346    ) 
Spin(   10.5,   18.5,   0.5,   0.204149,   0.0307556,   0.978457    ) 
Spin(   10.5,   18.5,   2.5,   0.0888249,   -0.157816,   -0.983465    ) 
Spin(   12.5,   0.5,   0.5,   0.933765,   0.169118,   -0.315408    ) 
Spin(   12.5,   0.5,   2.5,   0.219479,   0.139635,   0.965573    ) 
Spin(   12.5,   2.5,   0.5,   0.0447647,   0.242165,   -0.969202    ) 
Spin(   12.5,   2.5,   2.5,   0.702548,   -0.00282162,   0.711631    ) 
Spin(   12.5,   4.5,   0.5,   0.18397,   0.0398698,   0.982123    ) 
Spin(   12.5,   4.5,   2.5,   -0.0708242,   0.978643,   -0.192981    ) 
Spin(   12.5,   6.5,   0.5,   0.810499,   -0.508597,   -0.290552    ) 
Spin(   12.5,   6.5,   2.5,   -0.716224,   -0.599921,   0.356536    ) 
Spin(   12.5,   8.5,   0.5,   -0.974312,   0.225018,   0.00914351    ) 
Spin(   12.5,   8.5,   2.5,   0.212569,   -0.529336,   -0.821351    ) 
Spin(   12.5,   10.5,   0.5,   0.11996,   -0.460733,   -0.879395    ) 
Spin(   12.5,   10.5,   2.5,   0.0838765,   0.357899,   -0.929986    ) 
Spin(   12.5,   12.5,   0.5,   0.517732,   -0.301831,   -0.800532    ) 
Spin(   12.5,   12.5,   2.5,   -0.225814,   0.886491,   0.403909    ) 
Spin(   12.5,   14.5,   0.5,   0.094365,   -0.0132895,   -0.995449    ) 
Spin(   12.5,   14.5,   2.5,   0.667336,   0.7267,   0.163005    ) 
Spin(   12.5,   16.5,   0.5,   -0.117015,   0.750905,   0.64996    ) 
